기업코드,IFRS,CFS,종목코드,회사명,자산총계,자본총계,매출총이익,유동자산,유동부채,당기순이익,부채총계,매출액(수익),영업활동으로인한현금흐름,영업이익,주당배당금,EBITDA,날짜,시가총액,주가,주식수,GP/A,ROE,PBR,유동비율,NCAV,PER,PSR,PCR,2003-당기순이익,2002-당기순이익,2001-당기순이익,2000-당기순이익,1999-당기순이익,2003-자본총계,2002-자본총계,2001-자본총계,2000-자본총계,1999-자본총계,증자
00164724,1,1,017800,현대엘리베이터,414989999999.0,227080000000.0,67950000000.0,168840000000.0,135400000000.0,84080000000.0,187910000000.0,460980000000.0,24050000000.0,36610000000.0,37300000000.0,124340000000.0,2005-08-01,370177424700.0,51800.0,51800.0,0.1637388852747385,0.3702659855557513,1.6301630469438084,1.2469719350073856,-0.05151583734598282,4.402681073977164,0.8030227443706885,15.39199271101871,28350000000.0,-35880000000.0,8059999999.0,10580000000.0,20130000000.0,282100000000.0,117500000000.0,97400000000.0,102200000000.0,217300000000.0,1
00165413,1,1,011170,롯데케미칼,3143650000000.0,1829559999999.0,516389999999.0,1056129999999.0,926629999999.0,544020000000.0,1314090000000.0,2367280000000.0,0.0,413089999999.0,100000000000.0,755550000000.0,2005-08-01,1456002000000.0,45950.0,45950.0,0.1642644696448396,0.2973501825577173,0.7958208531017271,1.1397537312628987,-0.1771700863055133,2.676375868534245,0.6150527187320469,inf,210660000000.0,59550000000.0,7430000000.0,34870000000.0,36690000000.0,1094100000000.0,895000000000.0,832800000000.0,830300000000.0,809800000000.0,0
00173032,1,1,025900,동화기업,459360000000.0,300830000000.0,61970000000.0,90260000000.0,96390000000.0,17770000000.0,158520000000.0,357340000000.0,47230000000.0,22280000000.0,0.0,49010000000.0,2005-08-01,78450972600.0,4120.0,4120.0,0.1349050853361198,0.05906990659176279,0.260781745836519,0.936404191306152,-0.8700975620536794,4.414798683173888,0.2195415363519337,1.6610411306373067,5320000000.0,7259999999.0,10910000000.0,6680000000.0,3410000000.0,225200000000.0,224900000000.0,217700000000.0,207200000000.0,200500000000.0,0
00174004,1,1,002920,유성기업,176080000000.0,119030000000.0,13110000000.0,74950000000.0,38040000000.0,10790000000.0,57050000000.0,156930000000.0,0.0,6480000000.0,8700000000.0,10850000000.0,2005-08-01,88957341400.0,3550.0,3550.0,0.07445479327578372,0.0906494161135848,0.7473522758968327,1.9702944269190328,0.20122004230670493,8.244424596848933,0.5668600101956286,inf,10650000000.0,16050000000.0,2640000000.0,5850000000.0,7109999999.0,106800000000.0,96900000000.0,81800000000.0,79600000000.0,86200000000.0,0
00239514,1,1,054090,삼진엘앤디,85490000000.0,48290000000.0,17140000000.0,44930000000.0,28370000000.0,6010000000.0,37190000000.0,119909999999.0,14250000000.0,9440000000.0,9100000000.0,18240000000.0,2005-08-01,43295828400.0,5570.0,5570.0,0.2004912855304714,0.1244564091944502,0.8965795899772209,1.5837151921043355,0.17877010987044656,7.203964792013311,0.3610693720320329,3.0383037473684213,5880000000.0,3040000000.0,1450000000.0,610000000.0,509999999.0,29400000000.0,23800000000.0,20800000000.0,13900000000.0,4300000000.0,0
00111874,1,0,005710,대원산업,120300000000.0,61000000000.0,20770000000.0,77100000000.0,45200000000.0,8470000000.0,59300000000.0,369530000000.0,-1400000000.0,8170000000.0,4500000000.0,17620000000.0,2005-08-01,31680000000.0,2530.0,2530.0,0.17265170407315045,0.13885245901639345,0.519344262295082,1.7057522123893805,0.5618686868686869,3.74025974025974,0.08573052255567884,-22.62857142857143,11640000000.0,12380000000.0,5660000000.0,3270000000.0,1540000000.0,53800000000.0,41900000000.0,30600000000.0,25800000000.0,10500000000.0,0
00114808,1,0,086450,동국제약,59000000000.0,38700000000.0,33380000000.0,29700000000.0,13900000000.0,5590000000.0,20300000000.0,54479999999.0,5270000000.0,7270000000.0,48300000000.0,8620000000.0,2005-08-01,,,,0.5657627118644067,0.14444444444444446,,2.1366906474820144,,,,,4760000000.0,4460000000.0,3240000000.0,1789999999.0,3470000000.0,36300000000.0,36600000000.0,32100000000.0,30900000000.0,19500000000.0,0
00129013,1,0,011150,CJ씨푸드,55400000000.0,18600000000.0,22430000000.0,36200000000.0,32000000000.0,520000000.0,36800000000.0,190670000000.0,4590000000.0,800000000.0,0.0,2139999999.0,2005-08-01,27846349075.0,805.0,805.0,0.4048736462093863,0.027956989247311832,1.4971155416666666,1.13125,-0.02154681026169676,53.55067129807693,0.14604473212880895,6.066742717864924,3040000000.0,43040000000.0,-6310000000.0,3629999999.0,-10950000000.0,18400000000.0,15100000000.0,-51700000000.0,-45700000000.0,-43400000000.0,0
00197476,1,0,029960,코엔텍,67000000000.0,41700000000.0,12410000000.0,6400000000.0,10200000000.0,6480000000.0,25300000000.0,31980000000.0,10290000000.0,9880000000.0,4000000000.0,14730000000.0,2005-08-01,63250000000.0,12850.0,12850.0,0.18522388059701486,0.1553956834532374,1.5167865707434052,0.6274509803921569,-0.29881422924901185,9.760802469135802,1.9777986241400882,6.146744412050534,4320000000.0,3700000000.0,220000000.0,190000000.0,570000000.0,29400000000.0,25500000000.0,21800000000.0,20400000000.0,20800000000.0,0
00219574,1,0,044820,코스맥스비티아이,34100000000.0,12600000000.0,8150000000.0,19500000000.0,19100000000.0,1210000000.0,21400000000.0,38520000000.0,670000000.0,3679999999.0,6000000000.0,3770000000.0,2005-08-01,43438005600.0,4650.0,4650.0,0.2390029325513197,0.09603174603174604,3.447460761904762,1.0209424083769634,-0.04374049806743429,35.89917818181818,1.1276740809968848,64.83284417910448,-819999999.0,1300000000.0,1540000000.0,2300000000.0,1150000000.0,11300000000.0,12600000000.0,9100000000.0,7600000000.0,4300000000.0,1
00238153,1,0,037070,파세코,66600000000.0,26400000000.0,24750000000.0,33000000000.0,39900000000.0,1860000000.0,40300000000.0,127570000000.0,9010000000.0,2630000000.0,9400000000.0,9490000000.0,2005-08-01,18744000000.0,1400.0,1400.0,0.3716216216216216,0.07045454545454545,0.71,0.8270676691729323,-0.3894579598804951,10.07741935483871,0.14693109665281806,2.0803551609322977,2270000000.0,2790000000.0,1100000000.0,6110000000.0,4320000000.0,25700000000.0,24500000000.0,23300000000.0,24300000000.0,19700000000.0,0
00249247,1,0,037270,YG PLUS,89600000000.0,36300000000.0,25220000000.0,65600000000.0,49800000000.0,4820000000.0,53300000000.0,56370000000.0,4050000000.0,4450000000.0,10000000000.0,6670000000.0,2005-08-01,51062500000.0,21500.0,21500.0,0.2814732142857143,0.1327823691460055,1.4066804407713498,1.3172690763052208,0.2408812729498164,10.593879668049793,0.9058453077878303,12.608024691358025,3840000000.0,5390000000.0,2890000000.0,2080000000.0,4540000000.0,36200000000.0,19800000000.0,14400000000.0,11500000000.0,9500000000.0,0
00301422,1,0,066590,우수AMS,33200000000.0,9900000000.0,4079999999.0,15600000000.0,23000000000.0,1200000000.0,23300000000.0,45460000000.0,4880000000.0,1150000000.0,1200000000.0,3570000000.0,2005-08-01,10838800000.0,1580.0,1580.0,0.12289156623493976,0.12121212121212124,1.094828282828283,0.6782608695652174,-0.7104107465771119,9.032333333333334,0.23842498900131984,2.221065573770492,1170000000.0,1500000000.0,1320000000.0,640000000.0,290000000.0,8700000000.0,5600000000.0,4100000000.0,2500000000.0,1400000000.0,0
00303794,1,0,086980,쇼박스,97300000000.0,39500000000.0,7659999999.0,38100000000.0,54200000000.0,4410000000.0,57800000000.0,55770000000.0,33210000000.0,2950000000.0,0.0,8490000000.0,2005-08-01,,,,0.07872559094552929,0.11164556962025317,,0.7029520295202952,,,,,-310000000.0,6550000000.0,1970000000.0,1180000000.0,-229999999.0,35200000000.0,32300000000.0,14900000000.0,12900000000.0,11800000000.0,0
00329677,1,0,052650,이디디컴퍼니,31300000000.0,24000000000.0,5140000000.0,13300000000.0,6900000000.0,470000000.0,7300000000.0,22430000000.0,1939999999.0,-459999999.0,0.0,760000000.0,2005-08-01,26814800000.0,2075.0,2075.0,0.16421725239616616,0.01958333333333333,1.1172833333333334,1.9275362318840576,0.2237570297000164,57.05276595744682,1.195488185465894,13.822061862794875,650000000.0,2340000000.0,1950000000.0,2089999999.0,1019999999.0,23600000000.0,22900000000.0,23300000000.0,15100000000.0,3000000000.0,0
00359623,1,0,072470,우리산업홀딩스,58000000000.0,22000000000.0,14350000000.0,36300000000.0,27900000000.0,3450000000.0,36000000000.0,70640000000.0,450000000.0,2400000000.0,4600000000.0,8270000000.0,2005-08-01,25115960000.0,3050.0,3050.0,0.2474137931034483,0.15681818181818186,1.1416345454545451,1.3010752688172045,0.01194459618505524,7.279988405797101,0.3555486976217441,55.813244444444436,2560000000.0,2590000000.0,950000000.0,1120000000.0,540000000.0,18700000000.0,10400000000.0,7900000000.0,6700000000.0,4700000000.0,0
00397289,1,0,067170,오텍,25200000000.0,12100000000.0,3540000000.0,9700000000.0,12400000000.0,1220000000.0,13100000000.0,30039999999.0,6559999999.0,1639999999.0,5000000000.0,2690000000.0,2005-08-01,11020800000.0,1640.0,1640.0,0.14047619047619048,0.10082644628099173,0.910809917355372,0.782258064516129,-0.3085075493612079,9.033442622950819,0.3668708388937041,1.6800000002560975,2310000000.0,2010000000.0,1789999999.0,60000000.0,,11100000000.0,5700000000.0,2900000000.0,600000000.0,,1
00409964,1,0,106190,하이텍팜,9900000000.0,4800000000.0,1670000000.0,7100000000.0,4100000000.0,630000000.0,5100000000.0,18820000000.0,1150000000.0,570000000.0,0.0,1200000000.0,2005-08-01,,,,0.1686868686868687,0.13125,,1.7317073170731707,,,,,819999999.0,540000000.0,,,,4200000000.0,3300000000.0,,,,0
00416414,1,0,089140,넥스턴,9800000000.0,4300000000.0,3260000000.0,8100000000.0,5300000000.0,980000000.0,5500000000.0,15340000000.0,1270000000.0,1430000000.0,0.0,1810000000.0,2005-08-01,,,,0.3326530612244898,0.2279069767441861,,1.5283018867924532,,,,,680000000.0,560000000.0,620000000.0,,,2900000000.0,2300000000.0,1700000000.0,,,0
00483735,1,0,076610,해성옵틱스,9200000000.0,2100000000.0,1590000000.0,1800000000.0,2800000000.0,350000000.0,7100000000.0,12340000000.0,2190000000.0,680000000.0,0.0,2180000000.0,2005-08-01,,,,0.17282608695652174,0.16666666666666666,,0.6428571428571429,,,,,40000000.0,,,,,1800000000.0,,,,,0
00540429,1,0,090710,휴림로봇,8000000000.0,3000000000.0,4400000000.0,5100000000.0,2200000000.0,1630000000.0,5000000000.0,11020000000.0,600000000.0,1639999999.0,0.0,1980000000.0,2005-08-01,,,,0.55,0.5433333333333333,,2.3181818181818183,,,,,0.0,,,,,1600000000.0,,,,,0
